exercise_name,gymvisual_name,gif_filename
Sumo Deadlift,Barbell Sumo Deadlift,Barbell-Sumo-Deadlift_Hips-FIX__converted.gif
Trap Bar Deadlift,Trap Bar Deadlift,Trap-Bar-Deadlift_Thighs-FIX__converted.gif
Stiff-Legged Deadlift,Barbell Stiff Legged Deadlift,Barbell-Stiff-Legged-Deadlift_Hips-FIX__converted.gif
Romanian Deadlift,Barbell Romanian Deadlift,Barbell-Romanian-Deadlift_Hips-FIX__converted.gif
Dumbbell Romanian Deadlift,Dumbbell Romanian Deadlift,Dumbbell-Romanian-Deadlift_Hips-FIX__converted.gif
Rack Pull,Barbell Rack Pull,Barbell-Rack-Pull_Hips__converted.gif
Hyperextension,Hyperextension,Hyperextension-(VERSION-2)_Hips_converted.gif
Machine Back Extension,Lever Back Extension,Lever-Back-Extension-(version-2)_Back_converted.gif
Reverse Hyperextension,Lever Reverse Hyperextension (plate loaded),Lever-Reverse-Hyperextension-(plate-loaded)_Hips_converted.gif
Weighted Hyperextension,Weighted Hyperextension,Weighted-Hyperextension-(on-stability-ball)_Waist__converted.gif
Cable Glute Kickback,Cable Kickback (male),Cable-kickback_Upper-arms__converted.gif
Machine Glute Kickback,Lever Glute Press (male),Lever-Glute-Press-(male)_Hips__converted.gif
Glute Kickback,Bent Leg Kickback (kneeling) (male),Bent-Leg-Kickback-(kneeling)-(male)_Hips-FIX__converted.gif
Dead Hang,Dead Hang Stretch,Dead-Hang-Stretch_Stretching__converted.gif
Bird Dog,Bird Dog male,Bird-Dog-male_Back_converted.gif
Dead Bug,Dead Bug,Dead-Bug_Waist__converted 2.gif
Side Lying Hip Abduction,Side Hip Abduction,Side-Hip-Abduction_Hips__converted.gif
Band Standing Hip Abduction,Resistance Band Standing Balance Hip Abduction (male),Resistance-Band-Standing-Balance-Hip-Abduction-(ma_converted.gif
Band Seated Hip Abduction,Resistance Band Seated Hip Abduction (VERSION 2),Resistance-Band-Seated-Hip-Abduction_Hips__converted.gif
Cable Hip Abduction,Cable hip abduction (version 2) (male),Cable-hip-abduction-(version-2)-(male)_Hips__converted.gif
Lever Side Hip Abduction,Lever Side Hip Abduction (female),Side-Hip-Abduction_Hips__converted.gif
Side Bridge Hip Abduction,Side Bridge Hip Abduction,Side-Bridge-Hip-Abduction_Hips__converted.gif
Side Lying Hip Adduction,Side Hip Abduction,Side-Hip-Abduction_Hips__converted.gif
Band Hip Adduction,Band hip adduction (male),Band-hip-adduction-(male)_Hips_converted.gif
Side Plank Hip Adduction,Side Plank Hip Adduction (bent knee),Side-Plank-Hip-Adduction-(bent-knee)_Hips__converted.gif
Standing Hip Adduction,Hip - Adduction,Hip---Adduction-FIX__converted.gif
Cable Hip Adduction,Cable Hip Adduction,Cable-Hip-Adduction_Thighs_converted.gif
Side Lying Leg Raise,Side Lying Leg Raise,Lying-Leg-Raise_Waist-FIX__converted.gif
Kneeling Hip Extension,Straight Leg Kickback (kneeling) (male),Straight-Leg-Kickback-(kneeling)-(male)_Hips__converted.gif
Hip Extension,Hip - Extension,Hip---Extension_converted.gif
Machine Hip Abduction,Lever Seated Hip Abduction,Lever-Seated-Hip-Abduction_Hips-FIX__converted.gif
Machine Hip Adduction,Lever Seated Hip Adduction,Lever-Seated-Hip-Adduction_Thighs_converted.gif
Lying Leg Curl,Lever Lying Leg Curl,Lever-Lying-Leg-Curl_Thighs-FIX__converted.gif
Seated Leg Curl,Lever Seated Leg Curl,Lever-Seated-Leg-Curl_Thighs-FIX__converted.gif
Slider Leg Curl,Sliding Leg Curl on Floor with Towel,Sliding-Leg-Curl-on-Floor-with-Towel_Hips_converted.gif
Stability-Ball Leg Curl,Exercise Ball Leg Curl,Exercise-Ball-Leg-Curl_Thighs__converted.gif
Cable Leg Extension,Cable Seated Leg Extension,Cable-Seated-Leg-Extension_Thighs__converted.gif
Leg Extension,Lever Leg Extension,Lever-Leg-Extension_Thighs_converted.gif
Compact Leg Press,Lever Linear Hack Squat (male),Lever-Linear-Hack-Squat-(male)_Thighs__converted.gif
Horizontal Leg Press,Lever Horizontal Leg Press,Lever-Horizontal-Leg-Press_Thighs__converted.gif
Single-Leg Press,Sled 45 degrees One Leg Press (female),Sled-45-degrees-One-Leg-Press_Hips-FIX__converted.gif
Flutter Kicks,Flutter Kicks (version 3),Flutter-Kicks-(version-2)_Hips_converted 2.gif
Hanging Knee Raise,Hanging Leg Hip Raise,Hanging-Leg-Hip-Raise_Waist_converted.gif
Hanging Leg Raise,Hanging Leg Raise,Cable-Hanging-Leg-Raise_Waist__converted.gif
Lying Leg Raise,Lying Leg Raise,Lying-Leg-Raise_Waist-FIX__converted.gif
Toes to Bar,Hanging Toes to Bar,Hanging-Toes-to-Bar_Waist__converted.gif
Barbell Lunge,Barbell Lunge,Barbell-Lunge_Thighs-FIX__converted.gif
Barbell Reverse Lunge,Barbell Rear Lunge,Barbell-Rear-Lunge-(VERSION-2)_Thighs__converted.gif
Barbell Walking Lunge,Barbell Walking Lunge,Barbell-Walking-Lunge_Thighs__converted.gif
Barbell Curtsy Lunge,Barbell Curtsey Lunge (female),Barbell-Curtsey-Lunge_Thighs__converted.gif
Dumbbell Lunge,Dumbbell Lunge,Dumbbell-Lunge_Hips-FIX2__converted.gif
Lunge,Forward Lunge (male),Forward-Lunge-(male)_Thighs_converted.gif
Reverse Lunge,Bodyweight Rear Lunge,Bodyweight-Rear-Lunge_Thighs_converted.gif
Lateral Lunge,Side Lunge,Side-Lunge_Thighs_converted.gif
Barbell Lateral Lunge,Barbell Lateral Lunge,Barbell-Lateral-Lunge_Hips_converted.gif
Close-Grip Lat Pulldown,Cable Close Grip Front Lat Pulldown,Cable-Close-Grip-Front-Lat-Pulldown_Back_converted.gif
Lat Pulldown,Cable Bar Lateral Pulldown,Cable-Bar-Lateral-Pulldown_Back_converted.gif
Single-Arm Lat Pulldown,Cable one arm lat pulldown,Cable-one-arm-lat-pulldown_back_converted.gif
Reverse-Grip Lat Pulldown,Cable Reverse Grip Pulldown,Cable-Reverse-Grip-Pulldown_Back__converted.gif
Straight Arm Lat Pulldown,Cable Straight Arm Pulldown,Cable-Straight-Arm-Pulldown-(with-rope-attachment)_converted.gif
Barbell Pullover,Barbell Pullover,Barbell-Pullover_Back__converted.gif
Bent-Arm Barbell Pullover,Barbell Bent Arm Pullover (male),Barbell-Bent-Arm-Pullover-(male)_Back__converted.gif
Dumbbell Pullover,Dumbbell Pullover (VERSION 2),Dumbbell-Pullover-(VERSION-2)_Back__converted.gif
Machine Pullover,Lever Pullover (plate loaded),Lever-Pullover-(plate-loaded)_Back__converted.gif
Archer Push-Up,Archer Push-up,Archer-Push-up_Chest_converted.gif
Close-Grip Push-Up,Close Grip Push up,Close-grip-Push-up-(on-knees)_Upper-Arms__converted.gif
Decline Push-Up,Decline Push Up m,Decline-Push-Up_Chest-FIX__converted.gif
Diamond Push-Up,Diamond Push up,Diamond-Push-up-(on-knees)_Upper-Arms_converted.gif
Handstand Push-Up,Handstand Push Up,Handstand-Push-Up_Shoulders__converted.gif
Incline Push-Up,Incline Push up,Incline-Push-Up-(on-box)_converted.gif
Kneeling Close-Grip Push-Up,Close-grip Push-up (on knees),Close-grip-Push-up-(on-knees)_Upper-Arms__converted.gif
Kneeling Push-Up,Kneeling Push-up (male),Kneeling-Push-up-(male)_Chest_converted.gif
Pike Push-Up,Pike Push up,Pike-Push-up-(on-Bench)-(VERSION-2)_Chest_converted.gif
Push-Up,Push up m,Push-up-m_Chest_converted.gif
Wide-Grip Push-Up,Wide Hand Push up,Wide-Hand-Push-up_Chest_converted.gif
Barbell Rear Delt Row,Barbell Rear Delt Row,Barbell-Rear-Delt-Row_Shoulders__converted.gif
Barbell Bent-Over Row,Barbell Bent Over Row,Barbell-Bent-Over-Row_Back__converted.gif
Barbell Upright Row,Barbell Upright Row,Barbell-Upright-Row_Shoulders_converted.gif
Bench Pull,Barbell Lying Row on Rack,Barbell-Lying-Row-on-Rack_Back__converted.gif
Cable Upright Row,Cable Upright Row,Cable-Upright-Row_Shoulders-FIX2__converted.gif
Dumbbell Bent-Over Row,Dumbbell Bent over Row,Dumbbell-Bent-Over-Row_Back-FIX__converted.gif
Dumbbell Upright Row,Dumbbell Upright Row,Dumbbell-Upright-Row_Shoulders-FIX_converted.gif
Endurance Row,Rowing (with rowing machine),Rowing-(with-rowing-machine)_Cardio_converted.gif
Inverted Row,Inverted Row,Inverted-Row_Back-FIX__converted.gif
