exercise_name,gymvisual_name
Kettlebell Swing,Kettlebell Swing
Medicine Ball Slam,Medicine Ball Overhead Slam
Mountain Climbers,Mountain Climber
Pallof Press,Cable horizontal Pallof Press
Plate Pinch,Plate Pinch
Rotary Torso Twist,Lever Seated Twist
Stability Ball Pike Push-Up,Exercise Ball Pike Pushup
Step Up,Bodyweight Step-up on Stepbox
Superman,Superman (male)
Sitting Tibialis Raise,Sitting Floor Tibialis Raise (male)
Kettlebell Seated Tibialis Press,Kettlebell Sitting Tibialis Press
Cable Seated Tibialis Press,Seated Tibialis Anterior Press (female)
Band Seated Tibialis Press,Resistance Band Sitting Floor Tibialis Press
Smith Machine Reverse Calf Raise,Smith Reverse Calf Raises
Barbell Standing Rocking Calf Raise,Barbell Standing Rocking Leg Calf Raise
Wrist Roller,Wrist Roller
Plate Neck Flexion,Weighted Lying Neck Flexion
Plate Neck Extension,Weighted Lying Neck Extension
Cable Seated Neck Extension,Cable Seated Neck Extension (with head harness)
Weighted Seated Neck Extension,Weighted Seated Neck Extension (with head harness)
Weighted Lying Neck Extension,Weighted Lying Neck Extension (with head harness)
Machine Neck Extension,Lever Neck Extension (plate loaded)
Prone Neck Extension Hold,Prone Cervical Extension Isometric Hold
Prone Neck Extension,Prone Cervical Extension
Prone Neck Bridge,Neck Bridge Prone
Plate Lying Neck Head Twist,Weighted Lying Neck Head Twist
Chin Tuck,Chin Tuck
Farmer's Walk,StrongMan Barbell Farmers Walk
Suitcase Carry,Dumbbell Suitcase Carry
Dumbbell Overhead Carry,Dumbbell Overhead Carry
Sled Push,Power Sled Push (male)
Sled Pull,Power Sled Pull (male)
