Exercise Name,Image URL
Rack Pull,https://gymvisual.com/animated-gifs/1568-barbell-rack-pull.html?search_query=rack+pull&results=7
Hyperextension,https://gymvisual.com/animated-gifs/1988-hyperextension.html#/47-style_type-basic_grey
Bodyweight Reverse Hyperextension,
Machine Back Extension,https://gymvisual.com/animated-gifs/2070-lever-back-extension.html#/47-style_type-basic_grey
Neck Extension,https://gymvisual.com/animated-gifs/23035-seated-neck-flexion-to-extension-on-chair-male.html#/47-style_type-basic_grey
Reverse Hyperextension,https://gymvisual.com/animated-gifs/2090-lever-reverse-hyperextension-plate-loaded.html#/47-style_type-basic_grey
Weighted Hyperextension,https://gymvisual.com/animated-gifs/13030-weighted-hyperextension.html#/47-style_type-basic_grey
Cable Glute Kickbacks,https://gymvisual.com/animated-gifs/11282-cable-kickback-male.html#/47-style_type-basic_grey
Machine Glute Kickback,
Dead Hang,https://gymvisual.com/animated-gifs/11528-dead-hang-stretch.html#/47-style_type-basic_grey
Flexed-Arm Hang,
Single-Arm Dead Hang,https://gymvisual.com/animated-gifs/22858-alternating-dead-hang-male.html#/47-style_type-basic_grey
Weighted Dead Hang,
Weighted Flexed-Arm Hang,
Bird Dog,https://gymvisual.com/animated-gifs/2686-bird-dog-male.html#/47-style_type-basic_grey
Dead Bug,https://gymvisual.com/animated-gifs/1769-dead-bug.html#/47-style_type-basic_grey
Side Lying Hip Abduction,https://gymvisual.com/animated-gifs/2198-side-hip-abduction.html#/47-style_type-basic_grey
Side Lying Hip Adduction,https://gymvisual.com/animated-gifs/7986-side-lying-hip-adduction-male.html#/47-style_type-basic_grey
Hip Airplane,
Hip Extension,
Machine Hip Abduction,https://gymvisual.com/animated-gifs/2094-lever-seated-hip-abduction.html#/47-style_type-basic_grey
